date,Open,High,Low,Close,Volume
2021-09-29,0.0,43.0,28.0,39.0,223866
2021-09-30,38.21,40.0,33.35,33.6,159682
2021-10-01,35.78,33.55,30.0,31.25,75810
2021-10-04,31.41,31.25,30.0,30.25,15556
2021-10-05,30.52,32.05,30.15,32.0,82693
2021-10-06,30.52,31.65,30.55,31.2,26579
2021-10-07,31.07,33.4,31.2,32.3,72368
2021-10-08,31.82,32.3,30.9,31.15,48588
2021-10-12,31.11,32.3,30.8,32.0,48158
2021-10-13,31.31,31.4,29.7,30.7,23200
2021-10-14,30.64,31.45,30.6,31.45,1003
2021-10-15,30.6,31.4,30.55,31.15,13668
2021-10-18,30.91,31.25,30.5,30.5,6001
2021-10-19,30.72,30.5,29.9,29.9,39402
2021-10-21,30.08,30.95,30.0,30.05,29202
2021-10-22,30.21,30.6,30.2,30.6,3007
2021-10-25,30.47,30.55,30.1,30.5,4002
2021-10-26,30.13,30.3,30.3,30.3,2251
2021-10-27,30.3,30.45,30.0,30.1,32611
2021-10-28,30.24,30.5,29.4,30.0,57923
2021-10-29,29.77,30.25,28.5,29.1,40761
2021-11-01,29.04,30.45,28.4,30.45,48529
2021-11-02,29.06,29.2,27.9,29.2,38197
2021-11-03,28.99,29.2,28.5,29.2,7112
2021-11-04,29.06,29.2,29.0,29.0,10101
2021-11-05,29.09,30.3,29.0,30.25,58054
2021-11-08,29.23,30.25,29.15,30.05,32611
2021-11-09,29.49,33.1,29.85,32.45,295113
2021-11-10,31.34,34.45,32.0,32.9,184149
2021-11-11,32.99,33.4,31.05,31.95,114214
2021-11-12,32.0,32.3,31.05,31.95,31276
2021-11-15,31.74,33.55,31.5,32.15,139941
2021-11-16,32.05,37.4,32.15,37.4,189412
2021-11-17,34.57,38.0,34.4,35.95,193876
2021-11-18,36.13,35.95,33.55,34.4,146671
2021-11-19,34.59,34.65,33.2,34.65,59707
2021-11-22,33.55,33.1,31.65,32.2,45663
2021-11-23,32.3,32.95,31.85,32.85,21311
2021-11-24,32.04,34.5,32.5,33.6,55462
2021-11-25,33.44,33.05,32.5,32.5,42200
2021-11-26,32.79,32.5,31.0,31.0,54100
2021-11-29,31.96,32.15,31.8,32.15,4001
2021-11-30,31.95,32.1,31.0,32.1,13001
2021-12-01,31.13,32.1,32.1,32.1,139
2021-12-02,32.1,32.4,31.5,32.1,9151
2021-12-03,31.93,32.9,31.85,31.85,6110
2021-12-06,32.13,32.1,31.3,31.95,57100
2021-12-07,31.89,32.05,31.35,31.6,26020
2021-12-08,31.75,36.25,32.25,35.0,185788
2021-12-09,34.67,35.0,32.95,34.1,139463
2021-12-10,33.61,34.65,33.65,34.25,64540
2021-12-13,34.21,35.95,34.15,35.95,139416
2021-12-14,34.84,36.95,35.75,36.15,154686
2021-12-15,36.13,37.3,34.85,37.3,98714
2021-12-16,35.64,43.45,36.5,43.45,621914
2021-12-17,39.84,43.4,37.65,43.4,400942
2021-12-20,40.22,43.4,39.5,41.45,122061
2021-12-21,40.9,45.35,39.5,44.5,289794
2021-12-22,42.07,45.8,43.05,45.1,346017
2021-12-23,44.57,45.25,42.35,43.0,161659
2021-12-24,43.43,43.15,40.0,40.55,141913
2021-12-27,40.78,42.55,41.65,41.65,90714
2021-12-28,41.84,42.0,40.55,42.0,97830
2021-12-29,41.22,41.4,40.85,41.2,29976
2021-12-30,41.13,42.15,40.65,42.15,17681
2022-01-03,41.2,42.15,40.95,42.15,4500
2022-01-04,41.48,42.15,42.0,42.15,2681
2022-01-05,42.13,41.5,40.6,41.15,9000
2022-01-06,40.99,41.2,40.55,41.15,10000
2022-01-07,40.88,41.2,40.55,40.55,10100
2022-01-10,41.0,40.65,36.0,38.35,127778
2022-01-11,37.44,39.15,37.55,38.35,50167
2022-01-12,38.05,39.1,37.85,38.95,16003
2022-01-13,38.3,39.1,37.85,39.1,4012
2022-01-14,38.38,39.1,37.85,39.1,6011
2022-01-17,37.95,39.1,37.95,38.5,4669
2022-01-18,38.39,39.3,38.75,38.9,28947
2022-01-19,38.95,39.0,38.35,39.0,14911
2022-01-20,38.8,39.1,38.65,39.1,20111
2022-01-21,38.89,39.05,38.0,39.0,15012
2022-01-24,38.32,39.0,37.5,38.95,11195
2022-01-25,37.77,38.95,37.3,38.95,17001
2022-01-26,37.45,38.9,38.0,38.9,14324
2022-02-07,38.3,38.95,38.0,38.75,20238
2022-02-08,38.29,38.65,37.85,38.65,8507
2022-02-09,38.22,39.2,38.5,39.2,51072
2022-02-10,38.73,39.2,38.45,39.2,20000
2022-02-11,38.89,39.3,38.35,39.1,33323
2022-02-14,38.59,39.1,38.5,39.1,6211
2022-02-15,38.84,39.1,38.2,38.5,54714
2022-02-16,38.55,39.0,38.05,39.0,52968
2022-02-17,38.82,39.0,37.1,38.7,58530
2022-02-18,37.97,38.75,38.0,38.15,30712
2022-02-21,38.55,38.75,37.55,38.75,33133
2022-02-22,38.31,38.75,38.05,38.05,34860
2022-02-23,38.33,38.65,37.85,38.65,34224
2022-02-24,38.09,39.0,37.0,37.0,73799
2022-02-25,37.9,37.75,37.0,37.7,30750
2022-03-01,37.24,38.7,36.8,36.8,32116
2022-03-02,37.08,37.8,36.85,37.65,16561
2022-03-03,37.28,37.65,36.1,37.45,45905
2022-03-04,36.74,37.4,36.0,37.1,19036
2022-03-07,36.19,36.1,34.1,35.6,68694
2022-03-08,35.19,36.3,34.5,34.5,49084
2022-03-09,34.89,34.8,34.35,34.65,45140
2022-03-10,34.58,34.65,33.3,34.6,50485
2022-03-11,34.31,34.6,33.3,34.6,6630
2022-03-14,34.01,34.6,33.85,34.1,39380
2022-03-15,33.96,34.1,31.3,32.15,151553
2022-03-16,32.02,32.6,30.85,32.6,108471
2022-03-17,31.76,32.6,31.5,31.9,52021
2022-03-18,31.86,32.8,32.45,32.8,24210
2022-03-21,32.53,32.8,32.75,32.75,210
2022-03-22,32.78,34.65,31.9,34.65,19060
2022-03-23,33.05,34.7,34.5,34.65,3340
2022-03-24,34.59,34.85,34.0,34.85,26221
2022-03-25,34.49,34.85,33.85,34.1,20632
2022-03-28,33.98,34.45,34.0,34.45,5110
2022-03-29,34.07,34.45,33.4,33.4,30240
2022-03-30,33.94,33.95,33.0,33.35,40120
2022-03-31,33.21,33.95,32.4,32.4,6630
2022-04-01,32.74,33.95,32.35,33.1,10551
2022-04-06,32.54,33.15,32.35,33.0,24040
2022-04-07,32.51,33.55,32.85,33.1,9130
2022-04-08,32.96,33.85,32.2,33.85,11561
2022-04-11,32.77,34.0,32.65,33.1,14070
2022-04-12,33.27,33.5,33.1,33.5,4021
2022-04-13,33.29,33.65,32.8,33.0,4210
2022-04-14,33.01,34.5,33.0,34.15,22050
2022-04-15,33.61,34.15,33.05,33.95,16171
2022-04-18,33.12,34.0,33.35,33.45,23021
2022-04-19,33.42,33.95,32.75,33.95,31002
2022-04-20,32.91,33.95,33.95,33.95,1
2022-04-21,33.95,33.95,33.0,33.9,2702
2022-04-22,33.37,33.9,32.45,33.0,37606
2022-04-25,32.57,32.65,31.05,32.1,68014
2022-04-26,31.73,32.15,31.35,31.35,18981
2022-04-27,31.94,31.5,30.65,30.75,44000
2022-04-28,30.93,31.15,31.0,31.0,10000
2022-04-29,31.12,31.0,29.9,30.5,73190
2022-05-03,30.35,30.55,30.1,30.1,13101
2022-05-04,30.46,30.25,29.75,30.0,28515
2022-05-05,30.05,30.4,29.65,30.0,19235
