date,Open,High,Low,Close,Volume
2018-08-08,0.0,177.0,160.0,174.99,118201
2018-08-09,172.91,175.0,166.0,166.0,29291
2018-08-10,168.43,168.99,164.61,167.11,17400
2018-08-13,167.72,167.01,160.0,160.0,13454
2018-08-14,161.27,161.99,161.0,161.49,2200
2018-08-15,161.7,158.91,145.01,150.49,27606
2018-08-16,148.79,150.59,150.0,150.49,3250
2018-08-17,150.34,150.59,148.5,148.6,8381
2018-08-20,149.52,142.51,139.5,140.0,10000
2018-08-21,141.25,139.3,135.0,136.0,28300
2018-08-22,135.94,136.83,135.5,136.83,11000
2018-08-23,136.06,136.59,136.06,136.06,4000
2018-08-24,136.33,140.0,140.0,140.0,999
2018-08-27,140.0,145.0,142.03,145.0,8100
2018-08-28,143.29,145.5,144.51,145.5,14500
2018-08-29,145.19,145.89,145.0,145.89,7001
2018-08-30,145.27,145.76,145.0,145.3,7000
2018-08-31,145.47,148.42,145.5,148.42,9100
2018-09-03,146.52,150.99,150.99,150.99,50
2018-09-04,150.99,149.0,146.02,149.0,3000
2018-09-05,148.01,146.99,146.01,146.99,3050
2018-09-06,146.03,149.99,147.0,149.99,19000
2018-09-07,147.68,150.98,149.0,150.0,12017
2018-09-10,149.84,150.49,144.91,147.0,8100
2018-09-11,146.77,148.99,148.99,148.99,200
2018-09-12,148.99,148.99,144.01,147.3,25100
2018-09-13,146.36,148.98,148.98,148.98,100
2018-09-14,148.98,148.49,144.51,148.49,29110
2018-09-17,146.87,148.5,147.01,147.01,2150
2018-09-18,148.0,148.99,145.01,145.01,9130
2018-09-19,147.78,147.5,146.0,147.5,13000
2018-09-20,147.18,146.99,146.0,146.4,10000
2018-09-21,146.44,146.99,146.99,146.99,100
2018-09-25,146.99,144.51,144.51,144.51,1150
2018-09-26,144.51,147.99,144.51,147.99,2100
2018-09-27,144.68,145.5,145.0,145.0,5021
2018-09-28,145.1,145.49,145.49,145.49,100
2018-10-01,145.49,145.5,145.0,145.0,5000
2018-10-02,145.4,144.9,143.51,144.0,4400
2018-10-03,144.05,144.2,143.61,144.2,3000
2018-10-04,144.0,145.39,143.61,145.0,9100
2018-10-05,144.77,145.0,143.0,143.0,2100
2018-10-08,143.1,145.5,141.61,145.5,20000
2018-10-11,143.7,142.0,139.66,141.0,14000
2018-10-18,141.0,141.07,141.07,141.07,20
2018-10-19,141.07,141.07,141.07,141.07,1000
2018-10-25,141.07,141.45,141.01,141.45,4000
2018-10-26,141.23,141.45,141.01,141.45,4000
2018-10-31,141.23,142.0,141.5,142.0,2000
2018-11-01,141.75,142.0,141.5,142.0,7000
2018-11-02,141.93,139.01,137.48,139.0,6000
2018-11-05,138.75,139.99,139.98,139.99,4000
2018-11-06,139.99,140.49,140.49,140.49,2000
2018-11-09,140.49,141.0,140.49,141.0,2000
2018-11-12,140.75,142.5,141.0,141.0,13000
2018-11-13,141.6,141.5,139.01,139.01,8000
2018-11-14,140.35,140.0,140.0,140.0,2000
2018-11-15,140.0,140.0,139.45,140.0,4000
2018-11-16,139.74,139.5,139.07,139.5,4000
2018-11-20,139.29,140.99,140.99,140.99,2000
2018-11-21,140.99,140.57,140.0,140.5,6000
2018-11-30,140.36,141.39,141.39,141.39,2000
2018-12-04,141.39,139.02,139.02,139.02,1000
2018-12-06,139.02,139.02,139.02,139.02,1000
2018-12-07,139.02,140.99,140.99,140.99,2000
2018-12-11,140.99,142.5,141.32,141.99,11000
2018-12-12,142.0,143.69,143.21,143.21,2010
2018-12-13,143.45,142.65,142.65,142.65,1000
